,rmse_den,rmse_rnd,rmse_un,x
82,0.9408907766663177,0.9278058924299446,0.9371108056467049,82
83,0.9407657720271462,0.9278194690342778,0.9373439158385133,83
84,0.9417291480646778,0.927763480991527,0.939774512775259,84
85,0.9415958341204127,0.9283711922389919,0.940981175604189,85
86,0.9421979984813063,0.9283364927155966,0.9403433285859166,86
87,0.9428724366172885,0.9281982453794064,0.9400824520986972,87
88,0.9428742754266122,0.9282187212841161,0.940158866325736,88
89,0.9425973891121138,0.9286702218545502,0.9404199491515615,89
90,0.9431109813179388,0.9279655954037458,0.9395597469743476,90
91,0.9430877260160371,0.926761029019425,0.9382224669834838,91
92,0.943840709918514,0.927057305573289,0.9385661919263945,92
93,0.943674064370404,0.9362751530578595,0.9387983513340723,93
94,0.9431904097282429,0.9373271969654423,0.9389442406961119,94
95,0.943779204284239,0.9265379521121696,0.9391861055058809,95
96,0.9441531954534959,0.9265259226408682,0.9387877363727312,96
97,0.9445520709444035,0.9258398904463523,0.939043678355404,97
98,0.94420508959022,0.9256716483329448,0.9389550841076679,98
99,0.9450666008320834,0.9258127029044562,0.9393632106934471,99
