,x,rmse_den,acc_den,rmse_un,acc_un,rmse_rnd,acc_rnd
29,29,1.0031117633138364,-0.25901207294219997,0.9298890926890053,-0.09608440657643513,0.9751765430487246,-0.15135689237617067
30,30,1.0026835104842273,-0.25817098751517276,0.9264877187610612,-0.07911602244536442,0.9748136191312963,-0.1505863225356303
31,31,0.9846395681571006,-0.17008726375692085,0.9286850420740715,-0.0738348651232511,0.9738206947566554,-0.1453351755579338
32,32,0.981799157194331,-0.1581306837107378,0.9285420427792641,-0.07802192329584967,0.9682531307746803,-0.11850230926625299
33,33,0.9865176342284148,-0.1689033004429885,0.9286237295268172,-0.08176107937325261,0.9697427509129745,-0.1234363516909337
34,34,0.9835148458151041,-0.17114922451372772,0.9282842323428693,-0.0870998136846094,0.9678919247367898,-0.12471534790627031
35,35,0.9720529383671369,-0.18154663614907285,0.9279414397673368,-0.09134059522403981,0.9661628210434312,-0.12947168412768612
36,36,0.9725593193849903,-0.18352768662514396,0.9265672439004027,-0.08673895730339864,0.9679820487342727,-0.1387668724227048
37,37,0.9744483549779561,-0.18211800046646287,0.9302919962481823,-0.09315266136008715,0.9701457702343506,-0.1440984821300217
38,38,0.9783318665730508,-0.1920032152524329,0.9274022344863583,-0.08329588844182578,0.9695326662409063,-0.13383086289009571
39,39,0.9729503383967022,-0.177687059853603,0.9307263668894591,-0.08845843179185064,0.9665983941711355,-0.12798370618880184
40,40,0.9771152659404496,-0.18532090671161205,0.9290573785519254,-0.08312931038047744,0.9701735727021803,-0.13559437245023936
41,41,0.9770351808312657,-0.18424931956349921,0.9275302598032986,-0.07822533722175962,0.9703106224989855,-0.13519638161789638
42,42,0.9772580841842784,-0.18323188012304226,0.9247576388088282,-0.06660058763694832,0.9710018223257436,-0.13484717746321878
43,43,0.9758784820832149,-0.1705312406571854,0.9262844505733266,-0.07045291083732441,0.9712575012595976,-0.12995732994632142
44,44,0.9707224757118327,-0.16040621944533517,0.9271674917000114,-0.0837812241127859,0.9677425714378697,-0.1250152872859071
45,45,0.968720194729397,-0.1493548569428409,0.9305210176089185,-0.09767950815148119,0.9667661378012664,-0.12051597257135066
46,46,0.9666078032429275,-0.14898852397766738,0.9281539507954703,-0.0927500737839696,0.9662366064135846,-0.1202969428231918
47,47,0.9632791663867761,-0.14054431378423915,0.925974750346243,-0.08817134192346275,0.9636083808502238,-0.11518683672605451
48,48,0.9516602353486145,-0.09956401490125666,0.9248433256005233,-0.08392212095342934,0.9574876730355044,-0.09533011296834487
49,49,0.9522840769007569,-0.09998646664273214,0.9234385310980171,-0.07329748541743153,0.958100833171276,-0.09550666562062488
